"position","videoId","seen","published","title","description"
"1122","qQ4RTGVVPxE","False","3/16/2012 1:06:19 PM +00:00","Галилео. Танк Т-90 (ч.1)","№862 от 01.03.2012. Первая часть рассказа о современном Российском танке Т-90. В этом сюжете вы узнаете об управлении танком. Где и как обучают механиков-водителей и легко ли управлять танком?. Автор сюжета: Александр Колтовой. Режиссер: Александр Колтовой. Редактор: Александр Колтовой"
"1120","tAEsBdKfYa0","False","3/16/2012 1:54:08 PM +00:00","Галилео. Бить набат","№863 от 02.03.2012. Программа Галилео продолжает разбираться со старинными выражениями. ""Бить набат"". Что означает эта фраза, что такое ""набат"", почему его бьют и для чего?. Автор сюжета: Светлана Колмагорова. Редактор: Светлана Колмагорова. Режиссёр: Олег Гладов"
"1121","MZYGia1FlzA","False","3/16/2012 1:55:12 PM +00:00","Галилео. Танк Т-90 (ч.2)","№863 от 02.03.2012. Продолжение рассказа о Российском танке Т-90. В этом сюжете вы узнаете, о том, как происходит обучение стрельбе из танка на полигоне Таманской дивизии. Как работают системы заряжания, наводки и управления орудием?. Автор сюжета: Александр Колтовой. Режиссер: Александр Колтовой. Редактор: Александр Колтовой"
"1119","-jWIAHZ5bBc","False","3/16/2012 2:16:27 PM +00:00","Галилео. Эксперимент. Оптическая иллюзия","№864 от 05.03.2012. Простейшие оптические иллюзии. Каким образом угол зрения влияет на возникновение оптического обмана?. Автор сюжета: Алексей Иванченко. Режиссер: Елена Калиберда"
"1118","yY_9Ko15-mk","False","3/16/2012 3:19:02 PM +00:00","Галилео. Авиатакси (ч.1)","№864 от 05.03.2012. Путешествие из Москвы в Иваново за две тысячи рублей и разным транспортом. Программа Галилео устраивает соревнование. Кто из наших приглашенных гостей быстрее проделает этот путь и потратит меньше денег?. Вторая часть сюжета здесь: http://youtu.be/NJM8A5uMzU0. Режиссер: Алексей Литвинцев. Редактор: Варвара Корчагина"
"1117","NJM8A5uMzU0","False","3/16/2012 3:41:52 PM +00:00","Галилео. Авиатакси (ч.2)","№864 от 05.03.2012. Продолжение соревнования ""из Москвы в Иваново"". Вторая часть сюжета здесь: http://youtu.be/yY_9Ko15-mk. Режиссер: Алексей Литвинцев. Редактор: Варвара Корчагина"
"1116","VKYcJji_wYU","False","3/19/2012 7:30:58 AM +00:00","Галилео. Салфетки с рисунком","№865 от 06.03.2012. Производство салфеток. Чем изготовление салфеток отличается от изготовления обычной канцелярской бумаги и как на салфетки наносят рисунок?"
"1115","YTSH1Mt59sM","False","3/19/2012 7:37:41 AM +00:00","Галилео. Подлёдный дайвинг","№865 от 06.03.2012. Чем экипировка для подлёдного дайвинга отличается от обычной, летней? Какие опасности и меры безопасности существуют при погружениях зимой? Как дайверы общаются под водой?. Редактор: Варвара Корчагина. Режиссёр: Олег Гладов"
"1114","hiTyvDAeP_M","False","3/19/2012 7:47:35 AM +00:00","Галилео. Цветочные аукционы в Голландии","№866 от 07.03.2012. Съемочная группа Галилео в Голландии. В этом сюжете вы узнаете о том, как проходят торги на цветочной бирже и в чём особенность этих торгов в Голландии. Как выращивают розы и как цветы проделывают огромный и долгий путь между оранжереей и покупателем, не засыхая и не портясь?. Автор сюжета: Куркина Анна. Редактор: Куркина Анна. Режиссёр: Гарри Закарян"
"1113","fjHW3811qVQ","False","3/19/2012 7:59:25 AM +00:00","Галилео. Императорский фарфор","№866 от 07.03.2012. В этом сюжете вы узнаете о том, как изготавливают музейные копии из фарфора. Где был изобретен фарфор и когда он появился на Руси?"
"1112","St24HbCMk2E","False","3/19/2012 8:10:15 AM +00:00","Галилео. Эксперимент. Сила трения как система сигнализации","№868 от 11.03.2012. Система защиты товара в магазинах. Сила трения. Автор сюжета: Алексей Иванченко. Режиссер: Елена Калиберда"
"1111","WIVt66RSWNU","False","3/19/2012 8:29:41 AM +00:00","Галилео. Сухая вода (ч.1)","Часть 2: http://youtu.be/2wnCXY4hRHo. №868 от 11.03.2012. Сухая вода. Что это такое? Шутка? Или химическая жидкость с интересными свойствами?. Редактор: Артур Тарасенко. Режиссер: Полина Ртищева"
"1110","bZb9hqcug98","False","3/19/2012 9:15:10 AM +00:00","Галилео. Театральные спецэффекты (ч.1)","№867 от 12.03.2012. Театральные эффекты на сцене. Как имитируют на сцене кровь, попадание ножем и стрелой в человека, а также удары мечом?. Редактор: Варвара Корчагина. Режиссёр: Полина Ртищева"
"1109","cd7bqErwPcU","False","3/19/2012 9:20:12 AM +00:00","Галилео. Театральные спецэффекты (ч.2)","№868 от 11.03.2012. Театральные эффекты на сцене. Как имитируют на сцене кровь, удар камнем и потоки крови?. Редактор: Варвара Корчагина. Режиссёр: Полина Ртищева"
"1108","_ZxOZaFqBWo","False","3/19/2012 9:49:24 AM +00:00","Галилео. Спасательные средства","№867 от 12.03.2012. Средства спасения человека на воде. Когда впервые они появились? Каким ассортиментом спасательных средств сейчас располагает человек? Как и из чего изготавливают спасательные жилеты? Как проверяют качество жилетов?. Автор сюжета: Светлана Колмагорова. Режиссер: Марина Винник. Редактор: Светлана Колмагорова"
"1107","y7fULGN_k8E","False","3/20/2012 8:41:10 AM +00:00","Галилео. Кони и коньки","№869 от 13.03.2012. В этом сюжете вы узнаете о том, что связывает коньки и коня, а также как изготавливали коньки в XVII веке. Редактор: Артур Тарасенко. Режиссер: Марина Винник"
"1106","FP0mrzA1jl0","False","3/20/2012 9:42:29 AM +00:00","Галилео. Истории изобретений. Стандартизация","№869 от 13.03.2012. Что такое стандартизация и как она влияет на производство?. Редактор: Куркина Анна"
"1105","35fQzAT9mlQ","False","3/20/2012 10:46:31 AM +00:00","Галилео. Подделка против экспертизы","№869 от 13.03.2012. Программа Галилео устраивает очередное соревнование, в котором будут соревноваться эксперты-криминалисты МВД и изготовители поддельных документов. Смогут ли они подделать уведомительную записку, завещание и письмо Есенина Блоку?. Редактор: Артур Тарасенко. Режиссер: Ольга Брызгалова"
"1104","rneUaZYUdTY","False","3/21/2012 8:21:03 AM +00:00","Галилео. Рейтинги","№870 от 14.03.2012. Что такое рейтинг телевизионных программ? Что означают эти цифры и как он определяется? Каким образом исследуются телевизионные предпочтения людей?. Автор сюжета: Алексей Поляков. Редактор: Варвара Корчагина"
